perf_key,background_path,mix_path,vocal_path
1000002285_2817753733,10/PH/en/1000002285_2817753733/background.m4a,10/PH/en/1000002285_2817753733/mix.m4a,10/PH/en/1000002285_2817753733/vocal.ogg
1000177487_2729809714,18/IN/en/1000177487_2729809714/background.m4a,18/IN/en/1000177487_2729809714/mix.m4a,18/IN/en/1000177487_2729809714/vocal.ogg
1000177487_2945434640,10/IN/en/1000177487_2945434640/background.m4a,10/IN/en/1000177487_2945434640/mix.m4a,10/IN/en/1000177487_2945434640/vocal.ogg
1000002285_2821441269,12/PH/en/1000002285_2821441269/background.m4a,12/PH/en/1000002285_2821441269/mix.m4a,12/PH/en/1000002285_2821441269/vocal.ogg
1013118614_2782612873,11/TH/en/1013118614_2782612873/background.m4a,11/TH/en/1013118614_2782612873/mix.m4a,11/TH/en/1013118614_2782612873/vocal.ogg
1013418846_2733670366,11/US/en/1013418846_2733670366/background.m4a,11/US/en/1013418846_2733670366/mix.m4a,11/US/en/1013418846_2733670366/vocal.ogg
1000038201_2937573266,7/TH/en/1000038201_2937573266/background.m4a,7/TH/en/1000038201_2937573266/mix.m4a,7/TH/en/1000038201_2937573266/vocal.ogg
1002910654_3016558087,6/HK/en/1002910654_3016558087/background.m4a,6/HK/en/1002910654_3016558087/mix.m4a,6/HK/en/1002910654_3016558087/vocal.ogg
1005578971_2996128214,11/TH/en/1005578971_2996128214/background.m4a,11/TH/en/1005578971_2996128214/mix.m4a,11/TH/en/1005578971_2996128214/vocal.ogg
1005930255_2802618610,8/KR/en/1005930255_2802618610/background.m4a,8/KR/en/1005930255_2802618610/mix.m4a,8/KR/en/1005930255_2802618610/vocal.ogg
1180367054_2902804140,11/SG/en/1180367054_2902804140/background.m4a,11/SG/en/1180367054_2902804140/mix.m4a,11/SG/en/1180367054_2902804140/vocal.ogg
1000052718_2902622803,11/US/en/1000052718_2902622803/background.m4a,11/US/en/1000052718_2902622803/mix.m4a,11/US/en/1000052718_2902622803/vocal.ogg
100105431_2753075139,8/FR/en/100105431_2753075139/background.m4a,8/FR/en/100105431_2753075139/mix.m4a,8/FR/en/100105431_2753075139/vocal.ogg
100285094_3003951219,9/US/en/100285094_3003951219/background.m4a,9/US/en/100285094_3003951219/mix.m4a,9/US/en/100285094_3003951219/vocal.ogg
100285094_3003959747,10/US/en/100285094_3003959747/background.m4a,10/US/en/100285094_3003959747/mix.m4a,10/US/en/100285094_3003959747/vocal.ogg
1005257440_2869177182,18/NL/en/1005257440_2869177182/background.m4a,18/NL/en/1005257440_2869177182/mix.m4a,18/NL/en/1005257440_2869177182/vocal.ogg
1006420942_2891518295,19/FR/en/1006420942_2891518295/background.m4a,19/FR/en/1006420942_2891518295/mix.m4a,19/FR/en/1006420942_2891518295/vocal.ogg
1006420942_2899070422,6/FR/en/1006420942_2899070422/background.m4a,6/FR/en/1006420942_2899070422/mix.m4a,6/FR/en/1006420942_2899070422/vocal.ogg
100833904_2902320122,10/US/en/100833904_2902320122/background.m4a,10/US/en/100833904_2902320122/mix.m4a,10/US/en/100833904_2902320122/vocal.ogg
100833904_2925566836,12/US/en/100833904_2925566836/background.m4a,12/US/en/100833904_2925566836/mix.m4a,12/US/en/100833904_2925566836/vocal.ogg
1000055775_2855104887,10/MY/en/1000055775_2855104887/background.m4a,10/MY/en/1000055775_2855104887/mix.m4a,10/MY/en/1000055775_2855104887/vocal.ogg
