perf_key,background_path,mix_path,vocal_path
1221903678_2726216958,1/GB/ro/1221903678_2726216958/background.m4a,1/GB/ro/1221903678_2726216958/mix.m4a,1/GB/ro/1221903678_2726216958/vocal.ogg
2065637210_2929237446,1/RO/ro/2065637210_2929237446/background.m4a,1/RO/ro/2065637210_2929237446/mix.m4a,1/RO/ro/2065637210_2929237446/vocal.ogg
1264693055_2895614785,1/RO/ro/1264693055_2895614785/background.m4a,1/RO/ro/1264693055_2895614785/mix.m4a,1/RO/ro/1264693055_2895614785/vocal.ogg
1926904856_2783473396,1/US/ro/1926904856_2783473396/background.m4a,1/US/ro/1926904856_2783473396/mix.m4a,1/US/ro/1926904856_2783473396/vocal.ogg
2050055739_2913526814,1/MD/ro/2050055739_2913526814/background.m4a,1/MD/ro/2050055739_2913526814/mix.m4a,1/MD/ro/2050055739_2913526814/vocal.ogg
1143747760_2807752881,1/GB/ro/1143747760_2807752881/background.m4a,1/GB/ro/1143747760_2807752881/mix.m4a,1/GB/ro/1143747760_2807752881/vocal.ogg
194848605_2872685700,1/US/ro/194848605_2872685700/background.m4a,1/US/ro/194848605_2872685700/mix.m4a,1/US/ro/194848605_2872685700/vocal.ogg
1221903678_2726223848,1/GB/ro/1221903678_2726223848/background.m4a,1/GB/ro/1221903678_2726223848/mix.m4a,1/GB/ro/1221903678_2726223848/vocal.ogg
1080891537_2968773127,1/MY/ro/1080891537_2968773127/background.m4a,1/MY/ro/1080891537_2968773127/mix.m4a,1/MY/ro/1080891537_2968773127/vocal.ogg
1974461227_2908469439,1/TR/ro/1974461227_2908469439/background.m4a,1/TR/ro/1974461227_2908469439/mix.m4a,1/TR/ro/1974461227_2908469439/vocal.ogg
1980716334_2747244578,1/GB/ro/1980716334_2747244578/background.m4a,1/GB/ro/1980716334_2747244578/mix.m4a,1/GB/ro/1980716334_2747244578/vocal.ogg
1288720170_2725982222,1/DE/ro/1288720170_2725982222/background.m4a,1/DE/ro/1288720170_2725982222/mix.m4a,1/DE/ro/1288720170_2725982222/vocal.ogg
487780398_2968430082,1/ES/ro/487780398_2968430082/background.m4a,1/ES/ro/487780398_2968430082/mix.m4a,1/ES/ro/487780398_2968430082/vocal.ogg
1333879753_2755631128,1/IN/ro/1333879753_2755631128/background.m4a,1/IN/ro/1333879753_2755631128/mix.m4a,1/IN/ro/1333879753_2755631128/vocal.ogg
1123365730_2857240666,1/RO/ro/1123365730_2857240666/background.m4a,1/RO/ro/1123365730_2857240666/mix.m4a,1/RO/ro/1123365730_2857240666/vocal.ogg
